Date,Open,High,Low,Close,Adj Close,Volume
2004-10-09 00,47.77,48.37,47.11,47.78,47.78,7193298.0
2004-10-10 00,48.03,48.25,46.79,47.83,47.83,7040154.0
2004-10-11 00,48.07,48.21,46.89,47.11,47.11,5921671.0
2004-10-14 00,47.5,47.95,46.58,47.01,47.01,5868925.0
2004-10-15 00,47.3,48.62,46.97,48.29,48.29,6695298.0
2004-10-16 00,48.6,48.79,47.88,48.03,48.03,7181212.0
2004-10-17 00,48.29,49.04,47.8,48.01,48.01,8949242.0
2004-10-18 00,48.35,49.65,48.29,49.63,49.63,9915075.0
2004-10-21 00,49.53,50.03,48.8,48.98,48.98,8096796.0
2004-10-22 00,49.47,49.92,49.22,49.75,49.75,6526267.0
2004-10-23 00,49.79,49.85,48.52,48.55,48.55,7472720.0
2004-10-24 00,48.68,49.55,48.42,49.42,49.42,7638154.0
2004-10-25 00,49.93,50.58,49.68,49.8,49.8,9152637.0
2004-10-29 00,49.45,50.04,48.65,48.73,48.73,7782011.0
2004-10-30 00,48.85,49.51,48.62,49.28,49.28,8475315.0
2004-10-31 00,48.99,49.5,48.74,49.21,49.21,8252740.0
2004-11-01 00,49.48,49.75,48.52,48.62,48.62,7392092.0
2004-11-02 00,48.6,49.58,48.29,49.52,49.52,7703290.0
2004-11-05 00,49.48,50.09,48.83,48.92,48.92,8458132.0
2004-11-06 00,48.72,49.55,48.44,49.4,49.4,7967026.0
2004-11-07 00,49.45,49.95,48.48,48.65,48.65,7872720.0
2004-11-08 00,48.45,49.0,48.27,48.77,48.77,5833161.0
2004-11-09 00,48.79,49.5,48.4,49.22,49.22,6631562.0
2004-11-12 00,48.99,49.64,48.75,49.08,49.08,5809385.0
2004-11-13 00,49.05,49.27,48.34,48.79,48.79,5972021.0
2004-11-14 00,48.73,49.0,47.9,48.23,48.23,6546646.0
2004-11-15 00,48.2,48.41,46.85,47.14,47.14,9380411.0
2004-11-16 00,47.43,48.0,47.29,47.71,47.71,7222170.0
2004-11-19 00,47.29,48.08,46.95,47.03,47.03,6051542.0
2004-11-20 00,47.48,48.5,47.43,48.02,48.02,6111680.0
2004-11-21 00,48.15,49.05,47.85,48.02,48.02,7114080.0
2004-11-23 00,48.31,48.87,46.99,47.23,47.23,7799894.0
2004-11-26 00,47.16,47.41,45.8,46.51,46.51,5997595.0
2004-11-27 00,46.53,46.6,45.42,45.42,45.42,6346247.0
2004-11-28 00,45.83,46.43,45.43,46.23,46.23,5874319.0
2004-11-29 00,46.45,46.55,45.55,45.8,45.8,6546248.0
2004-11-30 00,45.78,46.04,44.83,45.2,45.2,5817176.0
2004-12-03 00,45.3,46.31,44.68,46.26,46.26,7295796.0
2004-12-03 00,46.08,46.24,45.2,45.2,45.2,6208186.0
2004-12-04 00,44.97,45.56,44.75,45.28,45.28,6058533.0
2004-12-05 00,45.31,46.13,45.09,45.74,45.74,5625370.0
2004-12-06 00,46.14,46.65,45.58,45.63,45.63,6920072.0
2004-12-07 00,45.63,45.68,43.89,44.3,44.3,9983205.0
2004-12-10 00,44.48,44.52,43.53,43.84,43.84,8152639.0
2004-12-11 00,43.48,43.84,43.04,43.28,43.28,7293090.0
2004-12-12 00,43.09,43.67,42.2,42.24,42.24,8139052.0
2004-12-13 00,42.73,43.13,42.6,42.78,42.78,5884109.0
2004-12-14 00,43.09,43.32,42.44,42.52,42.52,5823970.0
2004-12-17 00,42.25,42.42,40.84,42.07,42.07,7342450.0
2004-12-18 00,42.42,43.09,42.3,43.04,43.04,6458533.0
2004-12-19 00,43.05,43.28,42.28,42.59,42.59,6079914.0
2004-12-20 00,42.77,43.11,42.19,42.47,42.47,5467128.0
2004-12-21 00,42.47,43.04,42.19,42.49,42.49,6584208.0
2004-12-24 00,43.04,43.78,42.95,43.28,43.28,6054740.0
2004-12-26 00,43.46,43.7,42.78,43.02,43.02,6051743.0
2004-12-27 00,42.73,43.04,42.6,42.93,42.93,4739654.0
2004-12-28 00,43.17,43.24,42.48,43.09,43.09,4976618.0
2004-12-29 00,43.35,43.8,43.26,43.32,43.32,4605990.0
2004-12-30 00,43.68,44.02,43.41,43.78,43.78,4603191.0
2004-12-31 00,43.56,44.02,43.4,43.68,43.68,4078317.0
200,43.68,44.58,43.05,44.4,44.4,6343849.0
200,44.79,45.8,44.41,45.37,45.37,11094496.0
200,45.85,46.53,45.05,45.61,45.61,16593587.0
2005-01-04 00,45.7,55.86,45.05,55.7,55.7,37923434.0
2005-01-05 00,55.35,56.57,54.49,55.11,55.11,24123455.0
2005-01-06 00,55.44,55.72,52.8,53.08,53.08,22149228.0
2005-01-07 00,53.38,53.7,52.03,52.26,52.26,23418563.0
2005-01-08 00,52.19,53.06,51.19,52.13,52.13,22063214.0
2005-01-11 00,52.47,53.81,51.55,51.6,51.6,16134242.0
2005-01-12 00,51.35,51.8,49.67,50.64,50.64,24691886.0
2005-01-13 00,50.92,52.03,50.83,51.15,51.15,18779807.0
2005-01-14 00,51.14,51.15,49.65,50.62,50.62,20295683.0
2005-01-15 00,51.05,51.21,49.75,51.05,51.05,18173012.0
2005-01-18 00,51.47,51.52,49.97,50.21,50.21,16456728.0
2005-01-19 00,50.49,51.53,50.28,51.27,51.27,14123863.0
2005-01-20 00,51.74,52.18,51.19,51.75,51.75,15552032.0
2005-01-21 00,51.56,52.03,50.71,50.98,50.98,13092894.0
2005-01-22 00,51.14,51.14,49.71,50.2,50.2,17473811.0
2005-01-25 00,50.46,51.56,50.33,51.51,51.51,13921466.0
2005-01-26 00,51.74,52.11,51.08,51.6,51.6,12669519.0
2005-01-27 00,51.35,51.8,50.86,51.02,51.02,10761027.0
2005-01-28 00,51.31,51.6,50.26,50.33,50.33,12075112.0
2005-01-29 00,50.46,50.96,49.5,49.77,49.77,13793192.0
2005-02-01 00,50.04,50.27,48.83,48.95,48.95,14125264.0
2005-02-02 00,49.35,49.85,48.48,49.05,49.05,16161623.0
2005-02-03 00,49.0,49.52,47.7,48.5,48.5,18221763.0
2005-02-04 00,48.1,48.65,46.8,47.51,47.51,17096787.0
2005-02-05 00,47.55,47.6,45.95,46.26,46.26,17603181.0
2005-02-08 00,46.5,47.01,45.45,46.31,46.31,14403382.0
2005-02-09 00,46.47,47.11,45.6,46.89,46.89,11938450.0
2005-02-10 00,47.22,47.34,45.27,45.83,45.83,15952632.0
2005-02-11 00,45.46,46.8,45.45,46.39,46.39,13932851.0
2005-02-12 00,46.72,46.75,45.42,45.49,45.49,11174015.0
2005-02-15 00,45.2,45.7,44.0,44.7,44.7,15736643.0
2005-02-16 00,44.43,44.66,43.38,43.58,43.58,16758627.0
2005-02-17 00,43.7,44.63,43.38,44.01,44.01,14331054.0
2005-02-18 00,43.38,43.63,42.17,42.6,42.6,20617565.0
2005-02-19 00,42.28,42.93,41.86,42.11,42.11,17149830.0
2005-02-22 00,42.1,42.42,40.6,42.0,42.0,18008374.0
2005-02-23 00,42.05,46.96,41.8,46.83,46.83,30791675.0
2005-02-24 00,46.55,47.93,46.4,46.51,46.51,18252128.0
2005-02-25 00,46.3,47.8,46.27,47.78,47.78,14038945.0
2005-02-26 00,47.53,48.02,46.78,47.02,47.02,17267514.0
2005-02-29 00,47.05,48.09,46.67,47.67,47.67,18247534.0
2005-03-01 00,47.79,48.53,47.41,48.02,48.02,15007382.0
2005-03-02 00,48.2,48.72,46.78,47.55,47.55,15417166.0
2005-03-03 00,47.2,47.95,46.59,47.21,47.21,11352636.0
2005-03-04 00,47.3,47.63,46.38,46.53,46.53,10814774.0
2005-03-07 00,46.69,47.02,45.43,46.35,46.35,10317072.0
2005-03-08 00,46.3,46.81,45.41,45.8,45.8,8962429.0
2005-03-09 00,46.04,46.42,45.51,45.8,45.8,8704688.0
2005-03-10 00,45.45,46.05,44.75,45.55,45.55,9681508.0
2005-03-11 00,45.59,46.03,45.2,45.72,45.72,7660731.0
2005-03-14 00,45.79,46.48,45.4,46.11,46.11,8209186.0
2005-03-15 00,46.73,47.03,46.05,46.55,46.55,8631160.0
2005-03-16 00,46.79,46.86,46.28,46.47,46.47,7197495.0
2005-03-17 00,46.38,46.69,45.46,45.93,45.93,10959832.0
2005-03-18 00,45.79,46.07,45.37,45.71,45.71,7490602.0
2005-03-21 00,45.4,48.05,45.33,47.59,47.59,13310280.0
2005-03-22 00,47.71,48.5,47.2,47.75,47.75,9044744.0
2005-03-23 00,48.03,50.01,47.72,49.84,49.84,12025763.0
2005-03-24 00,49.8,49.88,47.48,48.02,48.02,10973216.0
2005-03-25 00,48.04,48.42,46.35,46.95,46.95,10811772.0
2005-03-28 00,47.3,47.65,46.08,46.52,46.52,11280306.0
2005-03-29 00,46.1,46.45,45.42,45.8,45.8,8676715.0
2005-03-30 00,45.76,46.09,45.16,45.78,45.78,8567424.0
2005-03-31 00,45.79,46.07,44.84,45.34,45.34,7882.0
2005-04-01 00,45.09,45.67,44.25,44.47,44.47,7796.0
2005-04-04 00,44.47,45.02,44.2,44.73,44.73,5396.0
2005-04-05 00,44.42,45.03,43.6,44.83,44.83,6993.0
2005-04-06 00,44.96,45.52,44.71,45.4,45.4,5876.0
2005-04-07 00,45.04,45.3,44.63,45.21,45.21,5584.0
2005-04-08 00,45.37,46.02,45.22,45.8,45.8,6824.0
2005-04-11 00,45.79,46.47,45.14,45.79,45.79,6459.0
2005-04-12 00,46.09,46.25,45.37,45.78,45.78,6866.0
2005-04-13 00,46.13,46.47,45.63,46.18,46.18,6508.0
2005-04-14 00,46.44,46.79,45.68,46.5,46.5,6832.0
2005-04-15 00,46.61,47.05,46.29,46.73,46.73,7568.0
2005-04-18 00,47.01,47.27,46.53,47.14,47.14,4637.0
2005-04-19 00,47.57,48.02,47.2,47.77,47.77,5476.0
2005-04-20 00,48.02,48.21,47.37,47.78,47.78,5477.0
2005-04-21 00,47.83,48.65,47.67,48.45,48.45,5390.0
2005-04-22 00,48.69,48.73,48.08,48.6,48.6,4463.0
2005-04-25 00,48.69,49.55,48.63,49.52,49.52,5797.0
2005-04-26 00,49.91,50.29,49.65,49.74,49.74,6423.0
2005-04-27 00,49.4,50.04,49.32,49.86,49.86,5948.0
2005-04-28 00,49.45,49.45,48.47,48.77,48.77,6938.0
2005-04-29 00,48.71,49.58,48.42,49.54,49.54,5944.0
2005-05-02 00,49.6,49.8,48.63,48.83,48.83,5886.0
2005-05-03 00,49.05,50.01,48.7,49.53,49.53,8437.0
2005-05-04 00,49.43,49.44,47.85,48.6,49.53,8437.0
2005-05-05 00,49.2,49.25,48.32,48.34,48.34,7230.0
2005-05-06 00,48.01,48.48,47.55,47.8,47.8,8547.0
2005-05-09 00,48.03,48.25,46.05,47.7,47.7,7284.0
2005-05-10 00,47.6,48.16,46.58,47.0,47.0,7477.0
2005-05-11 00,47.05,47.52,46.64,46.73,46.73,5778.0
2005-05-12 00,46.47,46.52,45.35,45.44,45.44,8658.0
2005-05-13 00,45.75,46.05,45.05,45.69,45.69,7738.0
2005-05-16 00,45.48,46.15,45.1,46.06,46.06,7231.0
2005-05-17 00,45.98,46.24,45.29,45.55,45.55,7526.0
2005-05-18 00,45.78,46.14,45.14,45.7,45.7,7046.0
2005-05-19 00,45.71,46.04,45.26,45.78,45.78,6608.0
2005-05-20 00,46.1,46.33,45.58,45.77,45.77,6804.0
2005-05-23 00,45.6,47.27,45.43,46.76,46.76,8201.0
2005-05-24 00,46.97,47.67,46.7,46.97,46.97,5735.0
2005-05-25 00,46.82,47.29,46.45,46.53,46.53,4803.0
2005-05-26 00,47.01,47.02,46.27,46.77,46.77,5264.0
2005-05-27 00,47.05,47.22,46.48,46.7,46.7,4903.0
2005-05-31 00,47.01,47.09,46.55,47.03,47.03,3968.0
2005-06-01 00,47.29,47.57,46.35,46.55,46.55,4897.0
2005-06-02 00,46.8,47.07,45.88,46.6,46.6,3934.0
2005-06-03 00,46.42,47.0,46.13,46.48,46.48,3579.0
2005-06-06 00,46.95,47.43,46.61,46.99,46.99,3814.0
2005-06-07 00,47.27,48.05,46.87,47.83,47.83,5167.0
2005-06-08 00,47.77,48.75,47.54,48.47,48.47,6211.0
2005-06-09 00,48.73,49.2,48.49,48.85,48.85,5377.0
2005-06-10 00,49.05,49.8,48.79,49.44,49.44,7229.0
2005-06-13 00,49.5,50.29,48.87,48.94,48.94,6328.0
2005-06-14 00,49.15,49.7,48.26,49.29,49.29,6845.0
2005-06-15 00,48.64,49.08,48.4,48.57,48.57,5158.0
2005-06-16 00,48.84,49.05,47.78,47.93,47.93,5445.0
2005-06-17 00,48.09,48.27,46.34,46.84,46.84,11366.0
2005-06-18 00,46.85,47.04,46.43,46.55,46.55,6950.0
2005-06-21 00,46.65,47.08,46.05,46.31,46.31,5516.0
2005-06-22 00,46.52,47.04,46.08,46.52,46.52,5413.0
2005-06-23 00,46.69,47.32,46.6,47.21,47.21,5210.0
2005-06-24 00,47.6,48.21,46.68,47.02,47.02,7430.0
2005-06-25 00,46.99,47.43,46.49,47.01,47.01,5394.0
2005-06-28 00,47.16,47.43,46.48,46.55,46.55,5625.0
2005-06-29 00,46.44,46.6,45.52,45.67,45.67,5715.0
2005-06-30 00,45.54,46.03,44.85,45.48,45.48,6607.0
2005-06-30 00,45.32,45.7,44.27,44.38,44.38,7147.0
2005-07-01 00,44.5,44.82,43.6,43.75,43.75,5809.0
2005-07-05 00,44.4,44.45,43.38,43.53,43.53,5964.0
2005-07-06 00,43.43,43.98,42.99,43.49,43.49,5966.0
2005-07-07 00,43.4,43.71,42.79,43.01,43.01,7038.0
2005-07-08 00,43.25,43.93,43.09,43.83,43.83,5331.0
2005-07-11 00,44.13,44.69,43.87,44.63,44.63,6063.0
2005-07-12 00,44.49,45.02,44.44,44.8,44.8,5338.0
2005-07-13 00,44.77,44.9,44.37,44.52,44.52,5338.0
2005-07-14 00,44.8,45.3,44.67,45.2,45.2,6230.0
2005-07-15 00,44.93,45.52,44.6,45.43,45.43,5359.0
2005-07-18 00,45.55,46.46,45.4,46.08,46.08,7287.0
2005-07-19 00,46.7,47.04,46.27,46.8,46.8,7099.0
2005-07-20 00,47.03,47.21,46.55,46.8,46.8,5103.0
2005-07-21 00,46.74,47.01,46.4,46.7,46.7,4991.8
2005-07-22 00,47.01,47.11,46.65,46.87,46.87,4969.69
2005-07-25 00,47.01,47.17,46.35,47.01,47.01,4968.97
2005-07-26 00,47.15,47.6,46.87,46.87,46.87,4915.76
2005-07-27 00,47.05,47.31,46.35,47.03,47.03,4930.65
2005-07-28 00,47.05,47.31,46.67,46.87,46.87,3893.48
2005-07-29 00,47.07,47.21,46.26,46.44,46.44,5494.49
2005-08-01 00,46.45,46.55,45.43,45.87,45.87,6697.89
2005-08-02 00,46.0,46.05,43.83,44.04,44.04,11330.45
2005-08-03 00,44.31,45.8,43.79,45.31,45.31,8861.82
2005-08-04 00,45.39,46.89,44.05,44.14,44.14,10349.44
2005-08-05 00,44.42,44.89,43.68,44.5,44.5,7737.65
2005-08-08 00,44.69,45.09,43.28,44.97,44.97,7482.72
2005-08-09 00,45.11,46.06,44.44,45.7,45.7,8551.45
2005-08-10 00,45.48,46.33,44.2,44.31,44.31,8085.47
2005-08-11 00,44.09,44.83,43.45,43.6,43.6,9278.98
2005-08-12 00,43.09,44.1,42.87,43.32,43.32,6676.68
2005-08-15 00,43.58,44.27,43.09,44.07,44.07,6651.89
2005-08-16 00,43.5,44.8,43.4,44.21,44.21,6721.46
2005-08-17 00,44.36,44.8,43.68,44.4,44.4,7296.79
2005-08-18 00,44.79,45.43,44.29,45.36,45.36,8284.76
2005-08-19 00,45.3,46.03,45.12,45.75,45.75,7267.82
2005-08-22 00,45.8,46.65,45.32,46.61,46.61,6439.95
2005-08-23 00,46.99,47.59,46.75,47.03,47.03,5811.88
2005-08-24 00,47.58,48.12,47.4,47.65,47.65,5627.76
2005-08-25 00,47.6,48.02,46.99,47.34,47.34,4939.43
2005-08-26 00,47.2,48.15,46.97,47.79,47.79,4099.39
2005-08-29 00,48.02,48.15,47.61,48.09,48.09,3944.64
2005-08-30 00,48.05,48.32,47.65,47.92,47.92,3504.29
2005-08-31 00,48.04,48.25,47.32,47.78,47.78,4334.66
2005-09-01 00,48.1,48.27,47.32,47.79,47.79,3732.46
2005-09-02 00,48.11,48.47,47.57,48.15,48.15,3484.76
2005-09-06 00,47.26,48.08,46.67,47.8,47.8,4106.08
2005-09-07 00,48.1,48.35,47.2,47.43,47.43,3584.86
2005-09-08 00,47.19,47.62,46.39,46.53,46.53,3645.84
2005-09-09 00,46.24,46.25,43.89,44.37,44.37,7232.74
2005-09-10 00,44.26,44.37,43.04,43.15,43.15,6084.79
2005-09-13 00,43.27,44.04,43.09,43.67,43.67,4334.44
2005-09-14 00,43.09,43.65,42.2,42.43,42.43,5474.72
2005-09-15 00,42.17,42.29,40.8,42.07,42.07,6998.48
2005-09-16 00,42.35,42.72,41.94,42.55,42.55,5685.76
2005-09-17 00,42.96,43.78,42.74,43.6,43.6,6609.39
2005-09-20 00,44.11,44.85,44.05,44.8,44.8,5882.51
2005-09-21 00,45.02,45.79,44.6,45.53,45.53,6503.69
2005-09-22 00,45.95,46.53,45.8,46.21,46.21,5210.77
2005-09-23 00,46.28,46.34,45.43,45.6,45.6,4877.88
2005-09-24 00,45.43,45.7,45.05,45.45,45.45,5097.48
2005-09-27 00,45.55,46.4,45.12,46.31,46.31,4667.88
2005-09-28 00,46.7,47.12,46.05,46.57,46.57,4651.89
2005-09-29 00,46.77,47.07,46.19,47.07,47.07,4276.46
2005-09-30 00,47.02,47.05,46.37,46.77,46.77,5579.48
2005-09-30 00,46.94,47.22,46.47,46.8,46.8,4254.76
2005-09-30 00,46.72,47.02,46.18,46.55,46.55,3731.36
2005-09-30 00,46.46,46.81,46.09,46.41,46.41,3985.69
2005-10-03 00,46.08,46.23,45.45,45.78,45.78,4031.95
2005-10-04 00,45.57,46.47,45.39,46.25,46.25,4146.84
2005-10-05 00,46.72,46.83,46.07,46.55,46.55,3476.71
2005-10-06 00,46.99,47.8,46.75,47.75,47.75,4168.72
2005-10-07 00,47.69,48.67,47.43,48.04,48.04,4609.38
2005-10-10 00,48.4,48.68,47.6,48.11,48.11,3786.89
2005-10-11 00,48.09,49.15,48.01,48.8,48.8,4840.34
2005-10-12 00,48.75,49.95,48.4,49.65,49.65,6634.26
2005-10-13 00,49.79,50.33,49.27,49.88,49.88,7201.78
2005-10-14 00,50.08,50.6,49.95,50.25,50.25,4559.83
2005-10-17 00,50.43,50.53,49.83,50.08,50.08,3363.71
2005-10-18 00,50.48,50.9,49.79,50.21,50.21,4215.83
2005-10-19 00,50.42,50.71,49.85,50.51,50.51,4084.59
2005-10-20 00,50.29,50.86,49.85,50.27,50.27,3738.34
2005-10-21 00,50.36,50.8,50.21,50.29,50.29,3647.44
2005-10-24 00,50.33,51.06,50.29,50.8,50.8,3645.13
2005-10-25 00,50.43,51.0,50.33,50.6,50.6,3088.09
2005-10-26 00,50.46,50.52,49.83,50.07,50.07,3586.49
2005-10-27 00,50.4,50.46,49.65,49.76,49.76,3510.86
2005-10-28 00,49.77,50.31,49.54,49.89,49.89,2880.96
2005-10-31 00,49.65,50.33,49.53,50.14,50.14,2598.48
2005-11-01 00,50.48,50.53,49.87,50.09,50.09,2350.64
2005-11-02 00,50.4,50.48,49.79,49.89,49.89,2126.77
2005-11-03 00,50.06,50.31,49.78,49.93,49.93,2112.28
2005-11-04 00,50.17,50.71,49.88,50.57,50.57,2156.63
2005-11-07 00,50.93,51.58,50.8,51.27,51.27,1887.19
2005-11-08 00,51.35,51.36,50.49,50.65,50.65,1736.14
2005-11-09 00,50.48,51.0,49.79,50.54,50.54,2022.76
2005-11-10 00,50.24,50.99,50.03,50.8,50.8,1631.49
2005-11-11 00,51.93,52.4,51.56,51.97,51.97,2020.67
2005-11-14 00,52.62,53.18,52.47,52.75,52.75,1694.88
2005-11-15 00,53.16,53.21,52.15,52.28,52.28,1658.06
2005-11-16 00,52.31,53.26,51.85,52.06,52.06,1931.76
2005-11-17 00,52.47,53.11,51.79,52.12,52.12,2041.97
2005-11-18 00,52.47,52.75,51.83,52.43,52.43,1575.78
2005-11-21 00,53.26,53.59,52.35,53.03,53.03,1677.98
2005-11-21 00,53.35,53.48,52.35,52.92,52.92,1393.46
2005-11-22 00,53.23,53.48,52.75,53.02,53.02,1573.98
2005-11-23 00,52.69,53.03,52.35,52.78,52.78,1447.14
200,53.04,54.76,52.75,54.49,54.49,3269418.0
200,54.99,55.36,54.7,54.95,54.95,2094303.0
2005-11-24 00,54.95,55.15,54.19,54.65,54.65,1790607.0
2005-11-25 00,54.77,54.85,54.18,54.43,54.43,1534644.0
2005-11-29 00,54.2,54.53,53.49,53.56,53.56,1455742.0
2005-11-29 00,53.24,53.55,52.89,53.08,53.08,1234564.0
2005-11-30 00,53.05,53.62,52.18,52.21,52.21,1666032.0
2005-12-01 00,52.37,52.42,50.8,52.17,52.17,1814583.0
2005-12-02 00,52.31,53.16,52.23,52.65,52.65,1333294.0
2005-12-06 00,53.27,53.59,52.53,52.93,52.93,111778.0
2005-12-06 00,53.02,53.63,52.7,53.36,53.36,1023235.0
2005-12-07 00,53.33,53.48,52.35,52.91,52.91,1294104.0
2005-12-08 00,53.43,53.78,52.83,53.43,53.43,1246432.0
2005-12-09 00,53.48,53.6,52.58,52.73,52.73,1036382.0
2005-12-10 00,52.77,53.08,52.16,52.46,52.46,1114584.0
2005-12-13 00,52.47,53.16,52.3,52.77,52.77,1103435.0
2005-12-14 00,52.6,53.02,52.08,52.58,52.58,1075343.0
2005-12-15 00,52.28,53.13,51.96,52.47,52.47,954884.0
2005-12-16 00,52.43,53.27,52.3,52.79,52.79,1101997.0
2005-12-17 00,53.23,53.6,52.73,53.02,53.02,1304833.0
2005-12-18 00,53.15,53.27,51.75,51.88,51.88,15312877.0
2005-12-21 00,52.06,52.21,50.55,50.97,50.97,13457524.0
2005-12-22 00,50.95,51.45,50.7,51.27,51.27,8675718.0
2005-12-23 00,51.45,51.52,50.79,51.44,51.44,8609382.0
2005-12-24 00,51.29,51.51,50.78,51.28,51.28,7792299.0
2005-12-28 00,51.06,51.27,49.95,50.08,50.08,8140452.0
2005-12-29 00,49.76,50.13,49.11,49.68,49.68,8389202.0
2005-12-30 00,50.33,50.44,49.86,50.2,50.2,7746046.0
2005-12-31 00,49.77,49.85,49.25,49.29,49.29,11052936.0
2005-12-31 00,49.27,49.32,47.78,48.01,48.01,14464122.0
2005-12-31 00,47.43,48.83,46.86,47.14,47.14,17119862.0
2006-01-04 00,47.58,48.37,46.83,48.21,48.21,12493892.0
2006-01-05 00,48.08,48.21,46.57,47.23,47.23,11749842.0
2006-01-06 00,47.25,47.71,46.42,46.77,46.77,9650348.0
2006-01-07 00,47.05,47.27,46.35,46.53,46.53,9358629.0
2006-01-08 00,46.52,47.01,45.77,46.31,46.31,7633760.0
2006-01-11 00,46.42,47.01,45.69,46.14,46.14,8078514.0
2006-01-12 00,45.85,46.8,45.27,45.58,45.58,8811580.0
2006-01-13 00,45.57,45.72,43.91,44.35,44.35,11367819.0
2006-01-14 00,44.6,45.32,43.88,44.89,44.89,8445945.0
2006-01-15 00,44.73,45.16,44.08,44.85,44.85,8573219.0
2006-01-18 00,44.8,45.3,44.26,44.83,44.83,8067325.0
2006-01-19 00,44.7,45.62,44.48,45.5,45.5,7836157.0
2006-01-20 00,45.89,46.15,45.08,45.58,45.58,9856133.0
200,45.53,46.02,44.88,45.4,45.4,8005984.0
200,45.05,46.2,44.79,46.05,46.05,8954037.0
200,46.05,46.64,45.78,46.05,46.05,7746645.0
20,45.6,46.03,44.98,45.91,45.91,6082710.0
20,46.43,46.72,45.6,45.87,45.87,8516876.0
21,46.02,46.17,44.8,45.37,45.37,9730060.0
22,45.38,46.02,44.79,45.86,45.86,8463528.0
23,45.97,46.44,45.44,45.8,45.8,8419573.0
24,46.15,46.42,45.45,45.45,45.45,8083708.0
25,45.57,45.6,44.29,44.85,44.85,10923464.0
28,44.5,44.85,43.5,43.79,43.79,11751237.0
29,43.58,44.04,43.4,43.68,43.68,8326666.0
30,43.57,44.03,43.4,43.78,43.78,6885508.0
30,44.05,44.86,43.92,44.08,44.08,8049344.0
32,44.33,44.8,44.08,44.36,44.36,5921872.0
33,44.41,44.62,43.68,43.77,43.77,5951442.0
34,43.48,43.84,43.44,43.52,43.52,5748246.0
35,43.52,43.55,42.88,43.08,43.08,6882111.0
36,42.88,43.08,42.6,42.96,42.96,6763230.0
37,43.4,44.52,43.34,44.29,44.29,8332861.0
38,44.7,45.2,44.62,44.93,44.93,5855138.0
39,45.09,45.31,44.85,45.21,45.21,5800394.0
40,44.98,45.09,44.58,44.77,44.77,4874720.0
41,44.76,44.83,44.28,44.49,44.49,4518676.0
42,44.64,44.84,44.53,44.7,44.7,3268329.0
43,44.47,44.71,44.34,44.42,44.42,3218578.0
44,44.46,44.83,44.34,44.47,44.47,3085711.0
45,44.53,44.82,44.4,44.47,44.47,2525772.0
46,44.58,44.7,44.4,44.54,44.54,2421776.0
47,44.71,44.85,44.19,44.5,44.5,3076521.0
48,44.64,45.09,44.43,45.09,45.09,3185211.0
49,45.05,45.3,44.69,44.87,44.87,1940157.0
50,44.77,44.92,44.47,44.73,44.73,2123074.0
51,44.79,44.87,44.29,44.52,44.52,1716282.0
52,44.67,44.67,43.89,44.46,44.46,2017480.0
53,44.6,44.86,44.48,44.83,44.83,1535063.0
54,44.83,44.84,44.35,44.54,44.54,1125573.0
55,44.75,44.75,44.12,44.4,44.4,1346032.0
56,44.42,44.5,44.05,44.24,44.24,1236761.0
57,44.22,44.25,43.84,44.05,44.05,1071417.0
58,44.05,44.32,43.96,44.23,44.23,1030568.0
59,44.29,44.29,43.78,43.8,43.8,885314.0
60,43.73,43.95,43.67,43.8,43.8,874344.0
